transaction_method,transaction_type,amount,old_balance,new_balance,is_fraud
3,2,7376.886596849065,15609.422767603099,8232.536170754032,0.0
1,2,2872.330293781958,4023.5046457775893,1151.1743519956312,1.0
3,2,8028.376720405768,1601.2680505793119,-6427.108669826455,0.0
3,1,9972.40662003699,9489.063596890466,-483.3430231465245,1.0
1,1,309.9597932406342,199.3846946903699,-110.5750985502643,0.0
1,1,8974.684999251409,1695.3230885266635,-7279.361910724745,0.0
3,2,6230.079030650594,16152.517391259502,9922.438360608907,1.0
2,2,9734.092365456563,15429.466897192127,5695.374531735564,0.0
3,2,4655.445080089012,18302.77640809792,13647.33132800891,0.0
3,2,8475.405426408024,17090.30871821499,8614.903291806966,1.0
3,2,633.3167452967896,13663.511264796362,13030.194519499571,0.0
3,2,3359.4377102821745,1046.6571460132568,-2312.7805642689177,0.0
1,2,679.4952121345876,15656.97235973315,14977.477147598564,0.0
3,1,9753.677903455915,16910.216216811208,7156.538313355293,1.0
2,2,8171.569333645649,15981.64291543909,7810.073581793441,0.0
1,1,8526.948738247245,10169.580706160521,1642.6319679132757,0.0
2,1,9380.272662024603,4658.036772989633,-4722.23588903497,0.0
2,2,860.1838263366557,16906.599513774534,16046.415687437879,1.0
2,2,3862.1199492082005,14543.256194802769,10681.136245594567,1.0
2,1,719.6385415495812,19615.22348777703,18895.58494622745,1.0
1,1,2115.823084484786,3113.851955118658,998.0288706338724,0.0
1,2,2301.3641126063467,4513.291661041101,2211.9275484347545,1.0
2,2,4696.381038365311,4235.962997630054,-460.4180407352569,0.0
2,1,2692.9360528618895,15850.795352426734,13157.859299564845,0.0
1,2,1018.7712871094333,3738.145929002363,2719.37464189293,1.0
1,2,1683.235980050136,1333.196596466122,-350.0393835840141,1.0
1,2,1481.2828798853884,19971.216131712572,18489.933251827184,0.0
3,1,9731.03721114386,496.34422890298293,-9234.692982240877,0.0
3,1,7595.332144115551,16704.881203177312,9109.549059061761,0.0
3,1,9677.937038042925,7307.336831013056,-2370.600207029868,1.0
2,2,4403.007460214007,16832.309195156304,12429.301734942297,0.0
3,2,2790.901131809939,11092.4098242229,8301.508692412961,0.0
2,1,7984.9490401197745,18032.624589727202,10047.675549607427,0.0
2,1,3269.2766412310566,18523.859728292533,15254.583087061477,0.0
3,1,3000.839903316429,181.96362561551993,-2818.876277700909,0.0
2,2,2332.7348621562337,1508.2435198557653,-824.4913423004684,0.0
3,1,1305.4929924601113,5007.17459141711,3701.6815989569986,0.0
3,1,2572.065979557492,13386.308327270033,10814.242347712541,0.0
1,2,3559.644287254138,17765.44393023012,14205.799642975984,1.0
3,2,6743.202139375847,9198.839025879255,2455.6368865034083,0.0
1,2,635.0227737723212,12139.462325485309,11504.439551712987,0.0
3,1,2112.964327256776,3769.997055911223,1657.032728654447,0.0
3,2,8092.146166513847,16099.336677633706,8007.190511119859,0.0
1,2,1477.75001660187,19346.562227069397,17868.812210467528,0.0
1,1,3433.02501375999,5371.97865829195,1938.9536445319595,1.0
3,2,8647.94262936282,9896.519032010927,1248.5764026481065,0.0
2,1,1557.7038583229921,1722.322210127476,164.61835180448384,1.0
1,1,836.540987825717,11182.733129259368,10346.19214143365,1.0
2,2,4850.534570849308,10055.668836933612,5205.134266084304,0.0
2,2,3031.1709176725785,2888.729683101552,-142.4412345710266,0.0
2,2,5638.449561193703,8841.3242623615,3202.874701167798,0.0
1,2,8040.010855929917,6682.093041731265,-1357.9178141986522,0.0
2,2,1380.1133966459042,10436.617506103787,9056.504109457883,0.0
1,2,5811.183854697307,11713.086708575984,5901.902853878677,1.0
2,1,5060.03251629474,169.91157214419016,-4890.12094415055,0.0
3,1,1449.3470722718637,15220.119658991107,13770.772586719244,1.0
3,2,6243.744870434534,14260.285837234816,8016.540966800282,0.0
1,1,2743.6677744291087,7325.727724130445,4582.059949701335,0.0
3,2,4883.464842254685,1058.7187113763653,-3824.74613087832,0.0
3,1,831.9005195278482,15098.650795701007,14266.75027617316,1.0
2,1,4601.244731564095,19103.50320956265,14502.258477998554,1.0
1,1,3071.570045747775,4803.031920440284,1731.461874692509,0.0
2,2,8225.58829974169,6470.492274740758,-1755.096025000932,0.0
2,1,579.2174827037092,3676.257789636299,3097.04030693259,0.0
2,2,4191.886676434116,11538.722466896794,7346.835790462677,0.0
2,1,4589.7299270730655,3096.827892949099,-1492.9020341239666,0.0
